[2026-04-03T05:31:24.842Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-dom_096_9a-._.js → 200 (25ms, 1058095B)
[2026-04-03T05:31:24.842Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_react-server-dom-turbopack_164kp-6._.js → 200 (27ms, 174634B)
[2026-04-03T05:31:24.843Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_compiled_1amofcm._.js → 200 (26ms, 144344B)
[2026-04-03T05:31:24.843Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_0r5nbpw._.js → 200 (31ms, 747009B)
[2026-04-03T05:31:24.843Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_0td08b2._.js → 200 (30ms, 249262B)
[2026-04-03T05:31:24.843Z] GET http://localhost:3000/_next/static/chunks/node_modules_%40swc_helpers_cjs_1r9vbqw._.js → 200 (27ms, 1984B)
[2026-04-03T05:31:24.843Z] GET http://localhost:3000/_next/static/chunks/_1anvha4._.js → 200 (30ms, 756B)
[2026-04-03T05:31:24.843Z] GET http://localhost:3000/_next/static/chunks/turbopack-_06rjnlx._.js → 200 (31ms, 91085B)
[2026-04-03T05:31:24.843Z] GET http://localhost:3000/_next/static/chunks/node_modules_11llhag._.js → 200 (58ms, 437503B)
[2026-04-03T05:31:24.844Z] GET http://localhost:3000/_next/static/chunks/src_10tka9u._.js → 200 (33ms, 38359B)
[2026-04-03T05:31:24.844Z] GET http://localhost:3000/_next/static/chunks/src_app_layout_tsx_1kt6ooj._.js → 200 (33ms, 338B)
[2026-04-03T05:31:24.844Z] GET http://localhost:3000/_next/static/chunks/node_modules_1bpao1h._.js → 200 (70ms, 985780B)
[2026-04-03T05:31:24.844Z] GET http://localhost:3000/_next/static/chunks/src_components_0xwfln5._.js → 200 (57ms, 70144B)
[2026-04-03T05:31:24.844Z] GET http://localhost:3000/_next/static/chunks/src_app_page_tsx_19mqsku._.js → 200 (57ms, 297B)
[2026-04-03T05:31:24.844Z] GET http://localhost:3000/_next/static/chunks/node_modules_next_dist_client_components_builtin_global-error_19mqsku.js → 200 (57ms, 212B)
[2026-04-03T05:31:24.856Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Faudit-work%2F800%2F600&w=750&q=75 → 304 (36ms, ?B)
[2026-04-03T05:31:24.856Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fbuild-auto%2F600%2F400&w=640&q=75 → 304 (36ms, ?B)
[2026-04-03T05:31:24.856Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fwin-results%2F600%2F400&w=640&q=75 → 304 (42ms, ?B)
[2026-04-03T05:31:24.856Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Ftraining-work%2F700%2F500&w=640&q=75 → 304 (41ms, ?B)
[2026-04-03T05:31:24.856Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fautomation-dash%2F700%2F500&w=640&q=75 → 304 (45ms, ?B)
[2026-04-03T05:31:24.856Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fdigital-web%2F700%2F500&w=640&q=75 → 304 (46ms, ?B)
[2026-04-03T05:31:24.877Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_1mojsay._.js → 200 (38ms, 15461B)
[2026-04-03T05:31:24.877Z] GET http://localhost:3000/_next/static/chunks/%5Bturbopack%5D_browser_dev_hmr-client_hmr-client_ts_00e1dbr._.js → 200 (39ms, 289B)
[2026-04-03T05:32:05.566Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Faudit-work%2F800%2F600&w=828&q=75 → pending (?ms, ?B)
[2026-04-03T05:32:05.566Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fbuild-auto%2F600%2F400&w=828&q=75 → pending (?ms, ?B)
[2026-04-03T05:32:05.566Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fwin-results%2F600%2F400&w=828&q=75 → pending (?ms, ?B)
[2026-04-03T05:32:05.566Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Ftraining-work%2F700%2F500&w=828&q=75 → pending (?ms, ?B)
[2026-04-03T05:32:05.566Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fautomation-dash%2F700%2F500&w=828&q=75 → pending (?ms, ?B)
[2026-04-03T05:32:05.567Z] GET http://localhost:3000/_next/image?url=https%3A%2F%2Fpicsum.photos%2Fseed%2Fdigital-web%2F700%2F500&w=828&q=75 → pending (?ms, ?B)
[2026-04-03T05:36:08.770Z] GET http://localhost:3000/ → 200 (50ms, 125183B)
[2026-04-03T05:36:08.823Z] GET http://localhost:3000/_next/static/media/797e433ab948586e-s.p.3f30ggp2vw8zj.woff2 → 200 (1ms, ?B)
